* Sea-Bird SBE37 Data File:
* FileName = C:\Users\ajm8808\OneDrive - UNC-Wilmington\Documents\FPS_ADCP\SeaBird37\Post-Processing\3hrtest.asc
* Software Version 1.59
* Temperature SN = 1308
* Conductivity SN = 1308
* System UpLoad Time = Jun 21 2023 13:29:12
* ds
* SBE37-SM V 2.6b  SERIAL NO. 1308    21 Jun 2023  13:27:54
* not logging: received stop command
* sample interval = 60 seconds
* samplenumber = 219, free = 190431
* do not transmit real-time data
* output salinity with each sample
* do not output sound velocity with each sample
* store time with each sample
* number of samples to average = 1
* serial sync mode disabled
* wait time after serial sync sampling = 30 seconds
* internal pump is installed
* temperature = 28.89 deg C

* S>
* SBE37-SM V 2.6b  1308
* temperature:  09-jan-14
*     TA0 = -1.041479e-04
*     TA1 = 3.070688e-04
*     TA2 = -4.447841e-06
*     TA3 = 1.996867e-07
* conductivity:  09-jan-14
*     G = -1.052229e+00
*     H = 1.583344e-01
*     I = -3.976814e-05
*     J = 3.120246e-05
*     CPCOR = -9.570000e-08
*     CTCOR = 3.250000e-06
*     WBOTC = -2.976320e-05
* pressure S/N 3804072, range = 160 psia:  06-jan-14
*     PA0 = -1.023833e-01
*     PA1 = 6.955435e-03
*     PA2 = -1.840500e-09
*     PTCA0 = 8.236864e+01
*     PTCA1 = -7.817787e-01
*     PTCA2 = 4.657767e-03
*     PTCSB0 = 2.503525e+01
*     PTCSB1 = -5.500000e-04
*     PTCSB2 = 0.000000e+00
*     POFFSET = 0.000000e+00
* rtc:  09-jan-14
*     RTCA0 = 1.000002e+00
*     RTCA1 = 1.631725e-06
*     RTCA2 = -3.431964e-08

* S> 
*END*
start time =  21 Jun 2023  09:47:34
sample interval = 60 seconds
start sample number = 1
 26.6942, 5.41174,    0.154,  34.4755, 21 Jun 2023, 12:50:34
 26.7116, 5.41245,    0.154,  34.4676, 21 Jun 2023, 12:51:34
 26.7240, 5.41214,    0.154,  34.4562, 21 Jun 2023, 12:52:34
 26.7341, 5.41294,    0.154,  34.4544, 21 Jun 2023, 12:53:34
 26.7470, 5.41421,    0.154,  34.4539, 21 Jun 2023, 12:54:34
 26.7485, 5.41425,    0.154,  34.4530, 21 Jun 2023, 12:55:34
 26.7587, 5.41533,    0.154,  34.4532, 21 Jun 2023, 12:56:34
 26.7654, 5.41474,    0.154,  34.4440, 21 Jun 2023, 12:57:34
 26.7761, 5.41548,    0.154,  34.4413, 21 Jun 2023, 12:58:34
 26.7816, 5.41660,    0.154,  34.4452, 21 Jun 2023, 12:59:34
 26.8011, 5.41772,    0.154,  34.4387, 21 Jun 2023, 13:00:34
 26.8050, 5.41876,    0.154,  34.4433, 21 Jun 2023, 13:01:34
 26.8232, 5.41974,    0.154,  34.4368, 21 Jun 2023, 13:02:34
 26.8268, 5.41950,    0.156,  34.4324, 21 Jun 2023, 13:03:34
 26.8256, 5.42091,    0.154,  34.4434, 21 Jun 2023, 13:04:34
 26.8531, 5.42243,    0.154,  34.4338, 21 Jun 2023, 13:05:34
 26.8654, 5.42171,    0.154,  34.4195, 21 Jun 2023, 13:06:34
 26.8701, 5.42266,    0.156,  34.4228, 21 Jun 2023, 13:07:34
 26.8851, 5.42370,    0.156,  34.4191, 21 Jun 2023, 13:08:34
 26.8896, 5.42404,    0.152,  34.4182, 21 Jun 2023, 13:09:34
 26.7714, 5.42261,    0.149,  34.4958, 21 Jun 2023, 13:10:34
 29.2946, 0.12966,    0.057,   0.5915, 21 Jun 2023, 13:11:34
 29.2033, 0.05632,    0.066,   0.2512, 21 Jun 2023, 13:12:34
 29.1949, 0.05034,    0.055,   0.2242, 21 Jun 2023, 13:13:34
 29.1613, 0.04944,    0.046,   0.2203, 21 Jun 2023, 13:14:34
 29.1347, 0.04930,    0.043,   0.2198, 21 Jun 2023, 13:15:34
 29.0701, 0.04622,    0.050,   0.2062, 21 Jun 2023, 13:16:34
 29.0670, 0.04586,    0.052,   0.2046, 21 Jun 2023, 13:17:34
 29.0454, 0.04690,    0.053,   0.2093, 21 Jun 2023, 13:18:34
 29.0381, 0.04665,    0.055,   0.2083, 21 Jun 2023, 13:19:34
 29.0197, 0.04698,    0.055,   0.2098, 21 Jun 2023, 13:20:34
 28.9919, 0.04695,    0.057,   0.2098, 21 Jun 2023, 13:21:34
 28.9951, 0.04699,    0.057,   0.2100, 21 Jun 2023, 13:22:34
 28.9832, 0.04733,    0.059,   0.2115, 21 Jun 2023, 13:23:34
 28.9399, 0.04778,    0.052,   0.2137, 21 Jun 2023, 13:24:34
 28.9158, 0.04950,    0.055,   0.2216, 21 Jun 2023, 13:25:34
